consulta,plano,tentativa,tempo
avanc_19,baseline,5,0.017236599989701062
avanc_19,baseline,6,0.01882079994538799
avanc_19,baseline,7,0.01664739998523146
avanc_19,baseline,8,0.018076599983032793
avanc_19,baseline,9,0.017453900014515966
avanc_19,baseline,10,0.017027499969117343
avanc_19,baseline,11,0.023351799987722188
avanc_19,baseline,12,0.01680300000589341
avanc_19,baseline,13,0.017963399994187057
avanc_19,baseline,14,0.015515799983404577
avanc_19,baseline,15,0.015215800027363002
avanc_19,baseline,16,0.015843500033952296
avanc_19,baseline,17,0.015281900006812066
avanc_19,baseline,18,0.015218299988191575
avanc_19,baseline,19,0.015199000015854836
avanc_19,baseline,20,0.015397100010886788
avanc_20,baseline,1,0.018372599966824055
avanc_20,baseline,2,0.01868440001271665
avanc_20,baseline,3,0.01790669996989891
avanc_20,baseline,4,0.018360699992626905
avanc_20,baseline,5,0.017639100027736276
avanc_20,baseline,6,0.01880740001797676
avanc_20,baseline,7,0.018093799997586757
avanc_20,baseline,8,0.01831539999693632
avanc_20,baseline,9,0.01786379999248311
avanc_20,baseline,10,0.019959099998231977
avanc_20,baseline,11,0.01951119996374473
avanc_20,baseline,12,0.02030249999370426
avanc_20,baseline,13,0.021242699993308634
avanc_20,baseline,14,0.02462740003829822
avanc_20,baseline,15,0.019409700005780905
avanc_20,baseline,16,0.026507000031415373
avanc_20,baseline,17,0.01924140000483021
avanc_20,baseline,18,0.020473900018259883
avanc_20,baseline,19,0.02474449999863282
avanc_20,baseline,20,0.019926800043322146
inter_01,plano1,1,0.035806800005957484
inter_01,plano1,2,0.023829100013244897
inter_01,plano1,3,0.022028099978342652
inter_01,plano1,4,0.021351699950173497
inter_01,plano1,5,0.024832300026901066
inter_01,plano1,6,0.01997670001583174
inter_01,plano1,7,0.02481829997850582
inter_01,plano1,8,0.02482430002419278
inter_01,plano1,9,0.020609800005331635
inter_01,plano1,10,0.02680809999583289
inter_01,plano1,11,0.020267600018996745
inter_01,plano1,12,0.026229899958707392
inter_01,plano1,13,0.02003590000094846
inter_01,plano1,14,0.0248210999998264
